id,label,type,degree
166,User_166,Unknown,4
167,User_167,Unknown,7
168,User_168,Unknown,11
169,User_169,Unknown,38
170,User_170,Unknown,46
171,User_171,Unknown,22
172,User_172,Unknown,41
173,User_173,Unknown,12
174,User_174,Unknown,4
175,User_175,Unknown,17
176,User_176,Unknown,14
177,User_177,Unknown,11
178,User_178,Unknown,13
179,User_179,Unknown,3
180,User_180,Unknown,20
181,User_181,Unknown,10
182,User_182,Unknown,3
183,User_183,Unknown,2
184,User_184,Unknown,18
185,User_185,Unknown,26
186,User_186,Unknown,44
187,User_187,Unknown,16
188,User_188,Unknown,48
189,User_189,Unknown,7
190,User_190,Unknown,4
191,User_191,Unknown,3
192,User_192,Unknown,5
193,User_193,Unknown,5
194,User_194,Unknown,19
195,User_195,Unknown,9
196,User_196,Unknown,13
197,User_197,Unknown,16
198,User_198,Unknown,12
199,User_199,Unknown,47
200,User_200,Unknown,57
201,User_201,Unknown,4
202,User_202,Unknown,4
203,User_203,Unknown,57
204,User_204,Unknown,22
205,User_205,Unknown,2
206,User_206,Unknown,4
207,User_207,Unknown,3
208,User_208,Unknown,7
209,User_209,Unknown,1
210,User_210,Unknown,1
211,User_211,Unknown,30
212,User_212,Unknown,18
213,User_213,Unknown,39
214,User_214,Unknown,17
215,User_215,Unknown,1
216,User_216,Unknown,2
217,User_217,Unknown,8
218,User_218,Unknown,9
219,User_219,Unknown,6
220,User_220,Unknown,4
221,User_221,Unknown,8
222,User_222,Unknown,11
223,User_223,Unknown,27
224,User_224,Unknown,28
225,User_225,Unknown,10
226,User_226,Unknown,14
227,User_227,Unknown,15
228,User_228,Unknown,3
229,User_229,Unknown,6
230,User_230,Unknown,9
231,User_231,Unknown,21
232,User_232,Unknown,25
233,User_233,Unknown,2
234,User_234,Unknown,2
235,User_235,Unknown,5
236,User_236,Unknown,37
237,User_237,Unknown,7
238,User_238,Unknown,23
239,User_239,Unknown,59
240,User_240,Unknown,3
241,User_241,Unknown,2
242,User_242,Unknown,24
243,User_243,Unknown,8
244,User_244,Unknown,2
245,User_245,Unknown,5
246,User_246,Unknown,14
247,User_247,Unknown,3
248,User_248,Unknown,21
249,User_249,Unknown,24
250,User_250,Unknown,5
251,User_251,Unknown,14
252,User_252,Unknown,65
253,User_253,Unknown,3
254,User_254,Unknown,17
255,User_255,Unknown,2
256,User_256,Unknown,2
257,User_257,Unknown,18
258,User_258,Unknown,15
259,User_259,Unknown,8
260,User_260,Unknown,8
261,User_261,Unknown,38
262,User_262,Unknown,4
263,User_263,Unknown,7
264,User_264,Unknown,5
265,User_265,Unknown,27
266,User_266,Unknown,18
267,User_267,Unknown,2
268,User_268,Unknown,11
269,User_269,Unknown,6
270,User_270,Unknown,4
271,User_271,Unknown,73
272,User_272,Unknown,45
273,User_273,Unknown,9
274,User_274,Unknown,14
275,User_275,Unknown,10
276,User_276,Unknown,18
277,User_277,Unknown,65
278,User_278,Unknown,10
279,User_279,Unknown,2
280,User_280,Unknown,43
281,User_281,Unknown,16
282,User_282,Unknown,2
283,User_283,Unknown,5
284,User_284,Unknown,16
285,User_285,Unknown,47
286,User_286,Unknown,2
287,User_287,Unknown,1
288,User_288,Unknown,4
289,User_289,Unknown,4
290,User_290,Unknown,14
291,User_291,Unknown,36
292,User_292,Unknown,1
293,User_293,Unknown,3
294,User_294,Unknown,3
295,User_295,Unknown,10
296,User_296,Unknown,7
297,User_297,Unknown,25
298,User_298,Unknown,11
299,User_299,Unknown,20
300,User_300,Unknown,7
301,User_301,Unknown,3
302,User_302,Unknown,20
303,User_303,Unknown,21
304,User_304,Unknown,55
305,User_305,Unknown,2
306,User_306,Unknown,9
307,User_307,Unknown,4
308,User_308,Unknown,24
309,User_309,Unknown,10
310,User_310,Unknown,13
311,User_311,Unknown,7
312,User_312,Unknown,26
313,User_313,Unknown,37
314,User_314,Unknown,13
315,User_315,Unknown,56
316,User_316,Unknown,2
317,User_317,Unknown,7
318,User_318,Unknown,11
319,User_319,Unknown,8
320,User_320,Unknown,21
321,User_321,Unknown,3
322,User_322,Unknown,72
323,User_323,Unknown,39
324,User_324,Unknown,26
325,User_325,Unknown,39
326,User_326,Unknown,19
327,User_327,Unknown,4
328,User_328,Unknown,9
329,User_329,Unknown,30
330,User_330,Unknown,16
331,User_331,Unknown,20
332,User_332,Unknown,43
333,User_333,Unknown,8
334,User_334,Unknown,28
335,User_335,Unknown,1
336,User_336,Unknown,3
337,User_337,Unknown,9
338,User_338,Unknown,7
339,User_339,Unknown,27
340,User_340,Unknown,6
341,User_341,Unknown,12
342,User_342,Unknown,34
343,User_343,Unknown,18
344,User_344,Unknown,9
345,User_345,Unknown,16
346,User_346,Unknown,27
347,User_347,Unknown,7
348,User_348,Unknown,229
349,User_414,Unknown,159
350,User_428,Unknown,115
351,User_1684,Unknown,792
352,User_1912,Unknown,755
353,User_2814,Unknown,2
354,User_2838,Unknown,4
355,User_2885,Unknown,4
356,User_3003,Unknown,4
357,User_3173,Unknown,18
358,User_3290,Unknown,5
359,User_353,Unknown,102
360,User_363,Unknown,96
361,User_366,Unknown,97
362,User_376,Unknown,133
363,User_389,Unknown,48
364,User_420,Unknown,34
365,User_475,Unknown,122
366,User_483,Unknown,231
367,User_484,Unknown,107
368,User_517,Unknown,104
369,User_526,Unknown,98
370,User_538,Unknown,87
371,User_563,Unknown,91
372,User_566,Unknown,85
373,User_580,Unknown,84
374,User_596,Unknown,46
375,User_601,Unknown,25
376,User_606,Unknown,91
377,User_629,Unknown,11
378,User_637,Unknown,115
379,User_641,Unknown,66
380,User_649,Unknown,5
381,User_651,Unknown,73
382,User_896,Unknown,126
383,User_897,Unknown,66
384,User_898,Unknown,38
385,User_899,Unknown,3
386,User_900,Unknown,13
387,User_901,Unknown,34
388,User_902,Unknown,46
389,User_903,Unknown,34
390,User_904,Unknown,3
391,User_905,Unknown,17
392,User_906,Unknown,78
393,User_907,Unknown,13
394,User_908,Unknown,32
395,User_909,Unknown,12
396,User_910,Unknown,5
397,User_911,Unknown,1
398,User_912,Unknown,9
399,User_913,Unknown,44
400,User_914,Unknown,16
401,User_915,Unknown,35
402,User_916,Unknown,147
403,User_917,Unknown,130
404,User_918,Unknown,1
405,User_919,Unknown,29
406,User_920,Unknown,13
407,User_921,Unknown,106
408,User_922,Unknown,30
409,User_923,Unknown,8
410,User_924,Unknown,45
411,User_925,Unknown,167
412,User_926,Unknown,21
413,User_927,Unknown,75
414,User_928,Unknown,9
415,User_929,Unknown,5
416,User_930,Unknown,52
417,User_931,Unknown,15
418,User_932,Unknown,63
419,User_933,Unknown,25
420,User_934,Unknown,82
421,User_935,Unknown,7
422,User_936,Unknown,37
423,User_937,Unknown,7
424,User_938,Unknown,29
425,User_939,Unknown,17
426,User_940,Unknown,17
427,User_941,Unknown,54
428,User_942,Unknown,65
429,User_943,Unknown,12
430,User_944,Unknown,37
431,User_945,Unknown,4
432,User_946,Unknown,166
433,User_947,Unknown,115
434,User_948,Unknown,38
435,User_949,Unknown,23
436,User_950,Unknown,10
437,User_951,Unknown,20
438,User_952,Unknown,84
439,User_953,Unknown,109
440,User_954,Unknown,55
441,User_955,Unknown,10
442,User_956,Unknown,10
443,User_957,Unknown,65
444,User_958,Unknown,24
445,User_959,Unknown,46
446,User_960,Unknown,103
447,User_961,Unknown,13
448,User_962,Unknown,27
449,User_963,Unknown,33
450,User_964,Unknown,26
451,User_965,Unknown,16
452,User_966,Unknown,115
453,User_967,Unknown,107
454,User_968,Unknown,40
455,User_969,Unknown,32
456,User_970,Unknown,15
457,User_971,Unknown,34
458,User_972,Unknown,21
459,User_973,Unknown,18
460,User_974,Unknown,11
461,User_975,Unknown,54
462,User_976,Unknown,24
463,User_977,Unknown,26
464,User_978,Unknown,104
465,User_979,Unknown,10
466,User_980,Unknown,128
467,User_981,Unknown,47
468,User_982,Unknown,68
469,User_983,Unknown,62
470,User_984,Unknown,42
471,User_985,Unknown,7
472,User_986,Unknown,11
473,User_987,Unknown,6
474,User_988,Unknown,41
475,User_989,Unknown,35
476,User_990,Unknown,29
477,User_991,Unknown,19
478,User_992,Unknown,31
479,User_993,Unknown,154
480,User_994,Unknown,27
481,User_995,Unknown,66
482,User_996,Unknown,4
483,User_997,Unknown,96
484,User_998,Unknown,9
485,User_999,Unknown,77
486,User_1000,Unknown,16
487,User_1001,Unknown,39
488,User_1002,Unknown,4
489,User_1003,Unknown,95
490,User_1004,Unknown,120
491,User_1005,Unknown,14
492,User_1006,Unknown,142
493,User_1007,Unknown,16
494,User_1008,Unknown,8
495,User_1009,Unknown,57
496,User_1010,Unknown,36
497,User_1011,Unknown,32
498,User_1012,Unknown,32
499,User_1013,Unknown,12
500,User_1014,Unknown,99
501,User_1015,Unknown,36
502,User_1016,Unknown,9
503,User_1017,Unknown,149
504,User_1018,Unknown,51
505,User_1019,Unknown,58
506,User_1020,Unknown,58
507,User_1021,Unknown,61
508,User_1022,Unknown,4
509,User_1023,Unknown,9
510,User_1024,Unknown,85
511,User_1025,Unknown,29
512,User_1026,Unknown,80
513,User_1027,Unknown,3
514,User_1028,Unknown,67
515,User_1029,Unknown,79
516,User_1030,Unknown,11
517,User_1031,Unknown,4
518,User_1032,Unknown,79
519,User_1033,Unknown,17
520,User_1034,Unknown,3
521,User_1035,Unknown,26
522,User_1036,Unknown,58
523,User_1037,Unknown,37
524,User_1038,Unknown,5
525,User_1039,Unknown,27
526,User_1040,Unknown,67
527,User_1041,Unknown,48
528,User_1042,Unknown,15
529,User_1043,Unknown,12
530,User_1044,Unknown,28
531,User_1045,Unknown,12
532,User_1046,Unknown,3
533,User_1047,Unknown,65
534,User_1048,Unknown,106
535,User_1049,Unknown,82
536,User_1050,Unknown,11
537,User_1051,Unknown,46
538,User_1052,Unknown,63
539,User_1053,Unknown,8
540,User_1054,Unknown,54
541,User_1055,Unknown,14
542,User_1056,Unknown,65
543,User_1057,Unknown,5
544,User_1058,Unknown,7
545,User_1059,Unknown,165
546,User_1060,Unknown,51
547,User_1061,Unknown,10
548,User_1062,Unknown,22
549,User_1063,Unknown,22
550,User_1064,Unknown,27
551,User_1065,Unknown,2
552,User_1066,Unknown,68
553,User_1067,Unknown,76
554,User_1068,Unknown,49
555,User_1069,Unknown,21
556,User_1070,Unknown,78
557,User_1071,Unknown,3
558,User_1072,Unknown,26
559,User_1073,Unknown,10
560,User_1074,Unknown,63
561,User_1075,Unknown,80
562,User_1076,Unknown,142
563,User_1077,Unknown,15
564,User_1078,Unknown,183
565,User_1079,Unknown,123
566,User_1080,Unknown,60
567,User_1081,Unknown,30
568,User_1082,Unknown,57
569,User_1083,Unknown,106
570,User_1084,Unknown,15
571,User_1085,Unknown,66
572,User_1086,Unknown,205
573,User_1087,Unknown,7
574,User_1088,Unknown,14
575,User_1089,Unknown,14
576,User_1090,Unknown,13
577,User_1091,Unknown,20
578,User_1092,Unknown,50
579,User_1093,Unknown,9
580,User_1094,Unknown,11
581,User_1095,Unknown,24
582,User_1096,Unknown,1
583,User_1097,Unknown,36
584,User_1098,Unknown,23
585,User_1099,Unknown,56
586,User_1100,Unknown,64
587,User_1101,Unknown,123
588,User_1102,Unknown,51
589,User_1103,Unknown,8
590,User_1104,Unknown,109
591,User_1105,Unknown,4
592,User_1106,Unknown,27
593,User_1107,Unknown,141
594,User_1108,Unknown,43
595,User_1109,Unknown,38
596,User_1110,Unknown,70
597,User_1111,Unknown,9
598,User_1112,Unknown,54
599,User_1113,Unknown,47
600,User_1114,Unknown,38
601,User_1115,Unknown,36
602,User_1116,Unknown,29
603,User_1117,Unknown,122
604,User_1118,Unknown,35
605,User_1119,Unknown,1
606,User_1120,Unknown,51
607,User_1121,Unknown,24
608,User_1122,Unknown,49
609,User_1123,Unknown,71
610,User_1124,Unknown,130
611,User_1125,Unknown,117
612,User_1126,Unknown,198
613,User_1127,Unknown,21
614,User_1128,Unknown,98
615,User_1129,Unknown,60
616,User_1130,Unknown,66
617,User_1131,Unknown,32
618,User_1132,Unknown,142
619,User_1133,Unknown,6
620,User_1134,Unknown,11
621,User_1135,Unknown,68
622,User_1136,Unknown,33
623,User_1137,Unknown,29
624,User_1138,Unknown,14
625,User_1139,Unknown,24
626,User_1140,Unknown,9
627,User_1141,Unknown,18
628,User_1142,Unknown,33
629,User_1143,Unknown,14
630,User_1144,Unknown,21
631,User_1145,Unknown,1
632,User_1146,Unknown,147
633,User_1147,Unknown,5
634,User_1148,Unknown,65
635,User_1149,Unknown,102
636,User_1150,Unknown,14
637,User_1151,Unknown,6
638,User_1152,Unknown,17
639,User_1153,Unknown,139
640,User_1154,Unknown,9
641,User_1155,Unknown,45
642,User_1156,Unknown,99
643,User_1157,Unknown,5
644,User_1158,Unknown,66
645,User_1159,Unknown,61
646,User_1160,Unknown,88
647,User_1161,Unknown,19
648,User_1162,Unknown,8
649,User_1163,Unknown,100
650,User_1164,Unknown,27
651,User_1165,Unknown,26
652,User_1166,Unknown,57
653,User_1167,Unknown,28
654,User_1168,Unknown,6
655,User_1169,Unknown,19
656,User_1170,Unknown,36
657,User_1171,Unknown,24
658,User_1172,Unknown,113
659,User_1173,Unknown,115
660,User_1174,Unknown,18
661,User_1175,Unknown,132
662,User_1176,Unknown,2
663,User_1177,Unknown,15
664,User_1178,Unknown,13
665,User_1179,Unknown,45
666,User_1180,Unknown,45
667,User_1181,Unknown,89
668,User_1182,Unknown,66
669,User_1183,Unknown,34
670,User_1184,Unknown,158
671,User_1185,Unknown,156
672,User_1186,Unknown,17
673,User_1187,Unknown,20
674,User_1188,Unknown,32
675,User_1189,Unknown,38
676,User_1190,Unknown,39
677,User_1191,Unknown,110
678,User_1192,Unknown,97
679,User_1193,Unknown,9
680,User_1194,Unknown,4
681,User_1195,Unknown,49
682,User_1196,Unknown,26
683,User_1197,Unknown,15
684,User_1198,Unknown,83
685,User_1199,Unknown,217
686,User_1200,Unknown,4
687,User_1201,Unknown,58
688,User_1202,Unknown,9
689,User_1203,Unknown,8
690,User_1204,Unknown,107
691,User_1205,Unknown,102
692,User_1206,Unknown,1
693,User_1207,Unknown,72
694,User_1208,Unknown,3
695,User_1209,Unknown,76
696,User_1210,Unknown,40
697,User_1211,Unknown,173
698,User_1212,Unknown,26
699,User_1213,Unknown,20
700,User_1214,Unknown,114
701,User_1215,Unknown,43
702,User_1216,Unknown,36
703,User_1217,Unknown,47
704,User_1218,Unknown,11
705,User_1219,Unknown,54
706,User_1220,Unknown,9
707,User_1221,Unknown,71
708,User_1222,Unknown,142
709,User_1223,Unknown,22
710,User_1224,Unknown,2
711,User_1225,Unknown,30
712,User_1226,Unknown,35
713,User_1227,Unknown,84
714,User_1228,Unknown,23
715,User_1229,Unknown,47
716,User_1230,Unknown,125
717,User_1231,Unknown,74
718,User_1232,Unknown,29
719,User_1233,Unknown,2
720,User_1234,Unknown,15
721,User_1235,Unknown,107
722,User_1236,Unknown,43
723,User_1237,Unknown,60
724,User_1238,Unknown,152
725,User_1239,Unknown,9
726,User_1240,Unknown,7
727,User_1241,Unknown,20
728,User_1242,Unknown,93
729,User_1243,Unknown,112
730,User_1244,Unknown,12
731,User_1245,Unknown,40
732,User_1246,Unknown,35
733,User_1247,Unknown,24
734,User_1248,Unknown,8
735,User_1249,Unknown,15
736,User_1250,Unknown,137
737,User_1251,Unknown,12
738,User_1252,Unknown,3
739,User_1253,Unknown,3
740,User_1254,Unknown,6
741,User_1255,Unknown,124
742,User_1256,Unknown,135
743,User_1257,Unknown,55
744,User_1258,Unknown,42
745,User_1259,Unknown,47
746,User_1260,Unknown,38
747,User_1261,Unknown,68
748,User_1262,Unknown,2
749,User_1263,Unknown,6
750,User_1264,Unknown,5
751,User_1265,Unknown,31
752,User_1266,Unknown,13
753,User_1267,Unknown,120
754,User_1268,Unknown,11
755,User_1269,Unknown,126
756,User_1270,Unknown,2
757,User_1271,Unknown,96
758,User_1272,Unknown,84
759,User_1273,Unknown,64
760,User_1274,Unknown,25
761,User_1275,Unknown,57
762,User_1276,Unknown,2
763,User_1277,Unknown,124
764,User_1278,Unknown,36
765,User_1279,Unknown,44
766,User_1280,Unknown,76
767,User_1281,Unknown,41
768,User_1282,Unknown,68
769,User_1283,Unknown,32
770,User_1284,Unknown,60
771,User_1285,Unknown,55
772,User_1286,Unknown,23
773,User_1287,Unknown,66
774,User_1288,Unknown,92
775,User_1289,Unknown,85
776,User_1290,Unknown,87
777,User_1291,Unknown,113
778,User_1292,Unknown,55
779,User_1293,Unknown,48
780,User_1294,Unknown,22
781,User_1295,Unknown,5
782,User_1296,Unknown,25
783,User_1297,Unknown,6
784,User_1298,Unknown,71
785,User_1299,Unknown,31
786,User_1300,Unknown,31
787,User_1301,Unknown,6
788,User_1302,Unknown,107
789,User_1303,Unknown,48
790,User_1304,Unknown,38
791,User_1305,Unknown,104
792,User_1306,Unknown,26
793,User_1307,Unknown,31
794,User_1308,Unknown,20
795,User_1309,Unknown,43
796,User_1310,Unknown,27
797,User_1311,Unknown,24
798,User_1312,Unknown,80
799,User_1313,Unknown,34
800,User_1314,Unknown,26
801,User_1315,Unknown,44
802,User_1316,Unknown,32
803,User_1317,Unknown,21
804,User_1318,Unknown,41
805,User_1319,Unknown,27
806,User_1320,Unknown,64
807,User_1321,Unknown,25
808,User_1322,Unknown,90
809,User_1323,Unknown,77
810,User_1324,Unknown,40
811,User_1325,Unknown,18
812,User_1326,Unknown,2
813,User_1327,Unknown,49
814,User_1328,Unknown,20
815,User_1329,Unknown,136
816,User_1330,Unknown,122
817,User_1331,Unknown,146
818,User_1332,Unknown,42
819,User_1333,Unknown,33
820,User_1334,Unknown,100
821,User_1335,Unknown,128
822,User_1336,Unknown,55
823,User_1337,Unknown,36
824,User_1338,Unknown,68
825,User_1339,Unknown,100
826,User_1340,Unknown,63
827,User_1341,Unknown,123
828,User_1342,Unknown,10
829,User_1343,Unknown,37
830,User_1344,Unknown,91
831,User_1345,Unknown,97
832,User_1346,Unknown,5
833,User_1347,Unknown,74
834,User_1348,Unknown,37
835,User_1349,Unknown,42
836,User_1350,Unknown,33
837,User_1351,Unknown,67
838,User_1352,Unknown,234
839,User_1353,Unknown,3
840,User_1354,Unknown,5
841,User_1355,Unknown,37
842,User_1356,Unknown,20
843,User_1357,Unknown,31
844,User_1358,Unknown,77
845,User_1359,Unknown,84
846,User_1360,Unknown,37
847,User_1361,Unknown,137
848,User_1362,Unknown,3
849,User_1363,Unknown,21
850,User_1364,Unknown,12
851,User_1365,Unknown,42
852,User_1366,Unknown,66
853,User_1367,Unknown,166
854,User_1368,Unknown,10
855,User_1369,Unknown,53
856,User_1370,Unknown,112
857,User_1371,Unknown,37
858,User_1372,Unknown,7
859,User_1373,Unknown,73
860,User_1374,Unknown,42
861,User_1375,Unknown,74
862,User_1376,Unknown,182
863,User_1377,Unknown,190
864,User_1378,Unknown,32
865,User_1379,Unknown,51
866,User_1380,Unknown,85
867,User_1381,Unknown,27
868,User_1382,Unknown,41
869,User_1383,Unknown,4
870,User_1384,Unknown,12
871,User_1385,Unknown,15
872,User_1386,Unknown,1
873,User_1387,Unknown,9
874,User_1388,Unknown,84
875,User_1389,Unknown,46
876,User_1390,Unknown,193
877,User_1391,Unknown,175
878,User_1392,Unknown,37
879,User_1393,Unknown,53
880,User_1394,Unknown,2
881,User_1395,Unknown,2
882,User_1396,Unknown,54
883,User_1397,Unknown,16
884,User_1398,Unknown,44
885,User_1399,Unknown,178
886,User_1400,Unknown,22
887,User_1401,Unknown,12
888,User_1402,Unknown,74
889,User_1403,Unknown,9
890,User_1404,Unknown,50
891,User_1405,Unknown,50
892,User_1406,Unknown,31
893,User_1407,Unknown,37
894,User_1408,Unknown,34
895,User_1409,Unknown,106
896,User_1410,Unknown,21
897,User_1411,Unknown,10
898,User_1412,Unknown,22
899,User_1413,Unknown,60
900,User_1414,Unknown,8
901,User_1415,Unknown,30
902,User_1416,Unknown,111
903,User_1417,Unknown,5
904,User_1418,Unknown,21
905,User_1419,Unknown,24
906,User_1420,Unknown,148
907,User_1421,Unknown,24
908,User_1422,Unknown,14
909,User_1423,Unknown,61
910,User_1424,Unknown,19
911,User_1425,Unknown,34
912,User_1426,Unknown,64
913,User_1427,Unknown,66
914,User_1428,Unknown,29
915,User_1429,Unknown,38
916,User_1430,Unknown,2
917,User_1431,Unknown,220
918,User_1432,Unknown,55
919,User_1433,Unknown,23
920,User_1434,Unknown,15
921,User_1435,Unknown,56
922,User_1436,Unknown,30
923,User_1437,Unknown,56
924,User_1438,Unknown,34
925,User_1439,Unknown,21
926,User_1440,Unknown,28
927,User_1441,Unknown,16
928,User_1442,Unknown,5
929,User_1443,Unknown,9
930,User_1444,Unknown,32
931,User_1445,Unknown,9
932,User_1446,Unknown,36
933,User_1447,Unknown,142
934,User_1448,Unknown,52
935,User_1449,Unknown,90
936,User_1450,Unknown,23
937,User_1451,Unknown,31
938,User_1452,Unknown,34
939,User_1453,Unknown,28
940,User_1454,Unknown,52
941,User_1455,Unknown,5
942,User_1456,Unknown,132
943,User_1457,Unknown,62
944,User_1458,Unknown,33
945,User_1459,Unknown,102
946,User_1460,Unknown,46
947,User_1461,Unknown,8
948,User_1462,Unknown,84
949,User_1463,Unknown,10
950,User_1464,Unknown,26
951,User_1465,Unknown,108
952,User_1466,Unknown,1
953,User_1467,Unknown,124
954,User_1468,Unknown,31
955,User_1469,Unknown,57
956,User_1470,Unknown,71
957,User_1471,Unknown,169
958,User_1472,Unknown,90
959,User_1473,Unknown,54
960,User_1474,Unknown,4
961,User_1475,Unknown,72
962,User_1476,Unknown,5
963,User_1477,Unknown,9
964,User_1478,Unknown,17
965,User_1479,Unknown,84
966,User_1480,Unknown,93
967,User_1481,Unknown,17
968,User_1482,Unknown,49
969,User_1483,Unknown,96
970,User_1484,Unknown,22
971,User_1485,Unknown,47
972,User_1486,Unknown,5
973,User_1487,Unknown,63
974,User_1488,Unknown,135
975,User_1489,Unknown,22
976,User_1490,Unknown,9
977,User_1491,Unknown,125
978,User_1492,Unknown,13
979,User_1493,Unknown,26
980,User_1494,Unknown,26
981,User_1495,Unknown,67
982,User_1496,Unknown,48
983,User_1497,Unknown,29
984,User_1498,Unknown,6
985,User_1499,Unknown,12
986,User_1500,Unknown,29
987,User_1501,Unknown,18
988,User_1502,Unknown,70
989,User_1503,Unknown,28
990,User_1504,Unknown,58
991,User_1505,Unknown,59
992,User_1506,Unknown,8
993,User_1507,Unknown,37
994,User_1508,Unknown,33
995,User_1509,Unknown,131
996,User_1510,Unknown,4
997,User_1511,Unknown,30
998,User_1512,Unknown,34
999,User_1513,Unknown,52
1000,User_1514,Unknown,35
1001,User_1515,Unknown,69
1002,User_1516,Unknown,159
1003,User_1517,Unknown,36
1004,User_1518,Unknown,14
1005,User_1519,Unknown,33
1006,User_1520,Unknown,117
1007,User_1521,Unknown,6
1008,User_1522,Unknown,156
1009,User_1523,Unknown,69
1010,User_1524,Unknown,41
1011,User_1525,Unknown,57
1012,User_1526,Unknown,22
1013,User_1527,Unknown,12
1014,User_1528,Unknown,70
1015,User_1529,Unknown,42
1016,User_1530,Unknown,105
1017,User_1531,Unknown,22
1018,User_1532,Unknown,39
1019,User_1533,Unknown,35
1020,User_1534,Unknown,33
1021,User_1535,Unknown,64
1022,User_1536,Unknown,82
1023,User_1537,Unknown,19
1024,User_1538,Unknown,72
1025,User_1539,Unknown,79
1026,User_1540,Unknown,69
1027,User_1541,Unknown,33
1028,User_1542,Unknown,55
1029,User_1543,Unknown,33
